Mods count: 381
 
                                                          jar name                                                           | notes |                  mod id                   |                      mod name                       |          mod version           |                                                                                                                                                                                                                                                   mixin configs                                                                                                                                                                                                                                                    |              modrinth hash               | curseforge hash
ApothicEnchanting-1.21.1-1.5.2.jar                                                                                           |       | apothic_enchanting                        | Apothic Enchanting                                  | 1.5.2                          | apothic_enchanting.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | aad9bb6b4e5ba7ea85af4d143467b99f0ed022fc | 1183634350     
ApothicSpawners-1.21.1-1.3.4.jar                                                                                             |       | apothic_spawners                          | Apothic Spawners                                    | 1.3.4                          | apothic_spawners.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 26d701238bdb76a497a64f588409419ad067e557 | 2280904914     
appleskin-neoforge-mc1.21-3.0.9.jar                                                                                          |       | appleskin                                 | AppleSkin                                           | 3.0.9+mc1.21                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 81cf0e668f991f83ac8820c386fbd6c9c3602246 | 3551532297     
Applied-Mekanistics-1.6.3.jar                                                                                                |       | appmek                                    | Applied Mekanistics                                 | 1.6.3                          | appmek.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | bec4a47269ec23bca2329742e13409bfde69c5c3 | 1499942316     
appliedenergistics2-19.2.17.jar                                                                                              |       | ae2                                       | Applied Energistics 2                               | 19.2.17                        | ae2.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 49c18d6a4af487957d7e5a6ad5dcbf71090b8e14 | 581628875      
AppliedFlux-1.21-2.1.4-neoforge.jar                                                                                          |       | appflux                                   | AppliedFlux                                         | 1.21-2.1.4-neoforge            | mixins.appflux.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 741e856b0c928fc15b59e92d98ea75ef98541ee8 | 2767699241     
Aquaculture-1.21.1-2.7.21.jar                                                                                                |       | aquaculture                               | Aquaculture 2                                       | 2.7.21                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 93c2043c6a5cfbfbfba93321d044bc61d8a6547b | 4284657502     
architects_palette-neoforge-1.21.1-1.4.0-beta.5.jar                                                                          |       | architects_palette                        | Architects Palette                                  | 1.4.0-beta.5                   | architects_palette.neoforge.mixins.json, architects_palette.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                            | d03842aecd0173edaabd4dd66e22103a5c0f2597 | 3252402485     
architectury-13.0.8-neoforge.jar                                                                                             |       | architectury                              | Architectury                                        | 13.0.8                         | architectury.mixins.json, architectury-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 6ca11d3cc136bf69bb8f4d56982481eb85b5100b | 418634412      
ars_additions-1.21.1-21.3.0.jar                                                                                              |       | ars_additions                             | Ars Additions                                       | 1.21.1-21.3.0                  | ars_additions.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | ce2440b606acb20b79a42bf7c6c24d163c93241f | 2148571724     
ars_affinity-1.21.1-1.1.1.jar                                                                                                |       | ars_affinity                              | Ars Affinity                                        | 1.1.1                          | ars_affinity.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | ecb08d69e18e07c8cdf9f2806c05cb814a406e86 | 1616211764     
    /META-INF/jarjar/sauce-1.21.1-0.0.10.35.jar                                                                              |       | sauce                                     | Sauce Library                                       | 0.0.10.35                      | sauce.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                          |                
    /META-INF/jarjar/nuggets-neoforge-1.21-1.0.10.41.jar                                                                     |       | nuggets                                   | Nuggets                                             | 1.0.10.41                      | nuggets.neoforge.mixins.json, nuggets.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                          |                
ars_creo-1.21.1-5.2.0.jar                                                                                                    |       | ars_creo                                  | Ars Creo                                            | 5.2.0                          | ars_creo.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 87e08998db6d6dc269db890416c9a05c3bfe941f | 161940455      
ars_elemental-1.21.1-0.7.9.2.jar                                                                                             |       | ars_elemental                             | Ars Elemental                                       | 0.7.9.2                        | ars_elemental.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 7454a00b27356ce13d0a8be9664df46d47331633 | 1765492917     
    /META-INF/jarjar/sauce-1.21.1-0.0.30.75.jar                                                                              |       | sauce                                     | Sauce Library                                       | 0.0.30.75                      | sauce.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                          |                
ars_hex-1.21.1-5.0.4b.jar                                                                                                    |       | ars_hex                                   | Ars Hex                                             | 5.0.4b                         | ars_hex.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 2354710ea312e2a6e0fbc3eb2dbafb8e06f10cf4 | 2445792967     
    /META-INF/jarjar/sauce-1.21.1-0.0.16.46.jar                                                                              |       | sauce                                     | Sauce Library                                       | 0.0.16.46                      | sauce.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                          |                
ars_nouveau-1.21.1-5.11.3.jar                                                                                                |       | ars_nouveau                               | Ars Nouveau                                         | 5.11.3                         | ars_nouveau.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 0af12dd7fda63a4261ceb302c9bb57fc235641c6 | 4191783025     
    /META-INF/jarjar/infiniverse-568341-5486311.jar                                                                          |       | infiniverse                               | Infiniverse                                         | 2.0.1.0                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/nuggets-neoforge-1.21.1-1.1.0.48.jar                                                                    |       | nuggets                                   | Nuggets                                             | 1.1.0.48                       | nuggets.neoforge.mixins.json, nuggets.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                          |                
    /META-INF/jarjar/lambdynamiclights-api-4.5.1+1.21.1-mojmap.jar                                                           |       | lambdynlights_api                         | LambDynamicLights (API)                             | 4.5.1+1.21.1                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
