Mods count: 381
 
                                                          jar name                                                           | notes |                  mod id                   |                      mod name                       |          mod version           |                                                                                                                                                                                                                                                   mixin configs                                                                                                                                                                                                                                                    |              modrinth hash               | curseforge hash
HopoBetterMineshaft-[1.21-1.21.3]-1.3.0b.jar                                                                                 |       | hopo                                      | HopoBetterMineshaft                                 | 1.3.0                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 4faf3ab27564c11dd710364849e32bdf5da0e0fd | 494192232      
HopoBetterRuinedPortals-[1.21.1-1.21.3]-1.4.4b.jar                                                                           |       | hoporp                                    | HopoBetterRuinedPortals                             | 1.4.4                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 52875dc5fd560c99721565bfced9c47dbff9acfa | 2038439188     
HostileNeuralNetworks-1.21.1-6.3.0.jar                                                                                       |       | hostilenetworks                           | Hostile Neural Networks                             | 6.3.0                          | hostilenetworks.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 7e026e8d78bb40bc52ff0857d25ebb5b1a05714b | 1293930498     
Iceberg-1.21.1-neoforge-1.3.2.jar                                                                                            |       | iceberg                                   | Iceberg                                             | 1.3.2                          | iceberg.neoforge.mixins.json, iceberg.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | f6014d198be9503573cd9cb41cc789d282768ad8 | 1913368417     
iChunUtil-1.21-NeoForge-1.0.3.jar                                                                                            |       | ichunutil                                 | iChunUtil                                           | 1.0.3                          | ichunutil.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 1f161c8b6288e6094fc57f4a9c10a6050df71081 | 1700937356     
igleelib-1.21.1-1.2.7.jar                                                                                                    |       | igleelib                                  | Iglee's Library                                     | 1.21.1-1.2.7                   | igleelib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | c7e3aaffa02357e1c0b194419ba3f44565aadac8 | 119550682      
ImmediatelyFast-NeoForge-1.6.10+1.21.1.jar                                                                                   |       | immediatelyfast                           | ImmediatelyFast                                     | 1.6.10+1.21.1                  | immediatelyfast-common.mixins.json, immediatelyfast-neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                           | f1f5cccd7cb59d875f44566b2e557ccecc8c33fb | 1221808790     
    /META-INF/jars/Reflect-1.6.1+curseforge.jar                                                                              |       |                                           |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
immersive_optimization-neoforge-1.21-0.1.4.jar                                                                               |       | immersive_optimization                    | Immersive Optimization                              | 0.1.4                          | immersive_optimization.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 3a1fde4119ccccaf39bcc738bf4db14f905c2b65 | 304345341      
ImmersiveEngineering-1.21.1-12.4.2-194.jar                                                                                   |       | immersiveengineering                      | Immersive Engineering                               | 12.4.2-194                     | immersiveengineering.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | a4e90c2df8009040f6d022433c5d76635944dd59 | 1811034843     
    /META-INF/jarjar/BlockModelSplitter-2.0.1.jar                                                                            |       |                                           |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/DualCodecs-0.1.2.jar                                                                                    |       |                                           |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
immersivemessages-neoforge-1.0.18-1.21.1.jar                                                                                 |       | immersivemessages                         | Immersive Messages API                              | 1.0.18                         | mixins.immersivemessages.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | b0f31d833ce76e9d57b5eb05bed1c34f61aaa7e7 | 1200960645     
ImmersivePetroleum-1.21.1-4.4.1-37.jar                                                                                       |       | immersivepetroleum                        | Immersive Petroleum                                 | 4.4.1-37                       | immersivepetroleum.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 1bbdd16fe59428cabe5a2ea7c3f01b2f2e010c88 | 170719551      
ImmersivePosts-1.21.1-4.3.1-16.jar                                                                                           |       | immersiveposts                            | Immersive Posts                                     | 4.3.1-16                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | d199a924ba739829d4f154c6d8690053f8e4feb2 | 2666348054     
improved-village-placement-1.1.2.jar                                                                                         |       | improved_village_placement                | Improved Village Placement                          | 1.1.2                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 5225cdd0f18cabd290551ca93125dbdceb7a7755 | 1636553601     
industrial-foregoing-souls-1.21.1-1.10.7.jar                                                                                 |       | industrialforegoingsouls                  | Industrial Foregoing Souls                          | 1.10.7                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | ff5def0fd52ac755103a4871aafcf0b80f5a1a51 | 4084098897     
industrialforegoing-1.21-3.6.38.jar                                                                                          |       | industrialforegoing                       | Industrial Foregoing                                | 1.21-3.6.38                    | META-INF/industrialforegoing.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 79019a59c8023f5883d7a6c2f2308c995f828aa3 | 1550083294     
integrateddynamics-1.21.1-neoforge-1.32.5.jar                                                                                |       | integrateddynamics                        | IntegratedDynamics                                  | 1.32.5                         | mixins.integrateddynamics.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 5df401de2616ba5e2cf838da152b8bbe6279547c | 2040167686     
integratedscripting-1.21.1-neoforge-1.0.21-339.jar                                                                           |       | integratedscripting                       | IntegratedScripting                                 | 1.0.21                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | f2ae961a3fe97b0de0830fcfebb34f30e7146bd1 | 2093579765     
integratedterminals-1.21.1-neoforge-1.6.28.jar                                                                               |       | integratedterminals                       | IntegratedTerminals                                 | 1.6.28                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | ba54de74b9e40630b40343c6e29625af0977c47f | 108820939      
integratedtunnels-1.21.1-neoforge-1.9.4-606.jar                                                                              |       | integratedtunnels                         | IntegratedTunnels                                   | 1.9.4                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | f7302a94bc43f3b4f15aabead27481f97aa029f0 | 3016593735     
inventoryessentials-neoforge-1.21.1-21.1.14.jar                                                                              |       | inventoryessentials                       | Inventory Essentials                                | 21.1.14                        | inventoryessentials.mixins.json, inventoryessentials.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                          | 5fa0d720d579e96a95745c42b04975d27671943e | 3336800537     
iris-neoforge-1.8.12+mc1.21.1.jar                                                                                            |       | iris                                      | Iris                                                | 1.8.12-snapshot+mc1.21.1-local | mixins.iris.forge.json, mixins.iris.compat.sodium.json, mixins.iris.devenvironment.json, mixins.iris.fixes.maxfpscrash.json, iris-batched-entity-rendering.mixins.json, mixins.iris.json, mixins.iris.fantastic.json, mixins.iris.integrationtest.json, mixins.iris.vertexformat.json, mixins.iris.bettermipmaps.json, mixins.iris.compat.dh.json                                                                                                                                                                  | a3e6355915c7d3b2bc392724795113e51d289378 | 2055048874     
    /META-INF/jarjar/glsl-transformer-2.0.1.jar                                                                              |       |                                           |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/jcpp-1.4.14.jar                                                                                         |       |                                           |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/fabric-api-base-0.4.42+d1308ded19.jar                                                                   |       | fabric_api_base                           | Forgified Fabric API Base                           | 0.4.42+d1308ded19              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/fabric-block-view-api-v2-1.0.10+9afaaf8c19.jar                                                          |       | fabric_block_view_api_v2                  | Forgified Fabric BlockView API (v2)                 | 1.0.10+9afaaf8c19              | fabric-block-view-api-v2.client.mixins.json, fabric-block-view-api-v2.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                          |                
    /META-INF/jarjar/fabric-renderer-api-v1-3.4.0+acb05a3919.jar                                                             |       | fabric_renderer_api_v1                    | Forgified Fabric Renderer API (v1)                  | 3.4.0+acb05a3919               | fabric-renderer-api-v1.debughud.mixins.json, fabric-renderer-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/fabric-rendering-data-attachment-v1-0.3.48+73761d2e19.jar                                               |       | fabric_rendering_data_attachment_v1       | Forgified Fabric Rendering Data Attachment (v1)     | 0.3.48+73761d2e19              | fabric-rendering-data-attachment-v1.client.mixins.json, fabric-rendering-data-attachment-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                            |                                          |                
ironfurnaces-neoforge-1.21.1-4.3.2.jar                                                                                       |       | ironfurnaces                              | Iron Furnaces                                       | 4.3.2                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 9a40f949ec9794cdef79bdabb61a12a918613194 | 1526878118     
irons_apothic-2.1.4.jar                                                                                                      |       | irons_apothic                             | Iron's Apothic                                      | 2.1.4                          | irons_apothic.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | e3eda9d75af99bcc19a31984463ae2b508ac3621 | 3696358326     
irons_lib-1.21.1-1.0.2.jar                                                                                                   |       | irons_lib                                 | Iron's Lib                                          | 1.21.1-1.0.2                   | irons_lib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | ef92f362a352a30f927c30c2be72a2d843c41342 | 3284679716     
irons_spellbooks-1.21.1-3.15.6.jar                                                                                           |       | irons_spellbooks                          | Iron's Spells 'n Spellbooks                         | 1.21.1-3.15.6                  | irons_spellbooks.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | c9fea9c9b38376af74b7a7da68dc8a7671f4b961 | 3336958090     
Jade-1.21.1-NeoForge-15.10.5.jar                                                                                             |       | jade                                      | Jade                                                | 15.10.5+neoforge               | jade.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | d5bf134b3dbde9f5258666823900e21341dc0a50 | 1963309046     
JadeAddons-1.21.1-NeoForge-6.1.0.jar                                                                                         |       | jadeaddons                                | Jade Addons                                         | 6.1.0+neoforge                 | jadeaddons.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | d0aef07e67f9e2dd7ae68f9f27d845511d8eaff3 | 2483268990     
jeimultiblocks-1.21.1-1.0.6.jar                                                                                              |       | jeimultiblocks                            | Just Enough Immersive Multiblocks                   | 1.0.6                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 3c0a8b4823083151572656c702e5a2b45720ab4f | 844327828      
just-hammers-neoforge-21.1.4.jar                                                                                             |       | justhammers                               | Just Hammers                                        | 21.1.4                         | justhammers.mixins.json, justhammers-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 9db9f80eeb27ab968b989f4b9b0f4ab88af6ec01 | 1631705935     
justdirethings-1.5.7.jar                                                                                                     |       | justdirethings                            | Just Dire Things                                    | 1.5.7                          | mixins.justdirethings.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | f0327d7d2f389020063849200a4128ac9dcb52da | 315552701      
JustEnoughMekanismMultiblocks-1.21.1-7.15.jar                                                                                |       | jei_mekanism_multiblocks                  | Just Enough Mekanism Multiblocks                    | 7.15                           | jei_mekanism_multiblocks.mixin.common.json, jei_mekanism_multiblocks.mixin.client.json                                                                                                                                                                                                                                                                                                                                                                                                                             | 160c5d10059c5f98bac91f46ef9cc287fa12a964 | 1547674975     
justzoom_neoforge_2.1.0_MC_1.21.1.jar                                                                                        |       | justzoom                                  | Just Zoom                                           | 2.1.0                          | justzoom.neoforge.mixins.json, justzoom.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 328da50972fa693b8e6f337d4a9560d4a6170ac3 | 927338680      
kleeslabs-neoforge-1.21.1-21.1.10.jar                                                                                        |       | kleeslabs                                 | KleeSlabs                                           | 21.1.10                        | kleeslabs.neoforge.mixins.json, kleeslabs.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                              | f47500ef008022daa0dce2ae804d2795a12e58f6 | 4143622422     
konkrete_neoforge_1.9.9_MC_1.21.jar                                                                                          |       | konkrete                                  | Konkrete                                            | 1.9.9                          | konkrete.mixins.json, konkrete.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 97771eb287d5ac7fe667d1df9493d5e54c8ca1fa | 3128317181     
kotlinforforge-5.11.0-all.jar                                                                                                |       |                                           |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | a8b9f1233336ca9fe4702bc2cc5a6f97ad5e3b65 | 1356655026     
    /META-INF/jarjar/kotlin-stdlib-jdk7-2.3.0.jar                                                                            |       |                                           |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/kotlin-reflect-2.3.0.jar                                                                                |       |                                           |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/kotlinx-serialization-json-jvm-1.9.0.jar                                                                |       |                                           |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/thedarkcolour.kfflang-5.11.0.jar                                                                        |       |                                           |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/kotlin-stdlib-jdk8-2.3.0.jar                                                                            |       |                                           |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/thedarkcolour.kfflib-5.11.0.jar                                                                         |       |                                           |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/thedarkcolour.kffmod-5.11.0.jar                                                                         |       | kotlinforforge                            | Kotlin For Forge                                    | 5.11.0                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/kotlin-stdlib-2.3.0.jar                                                                                 |       |                                           |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/kotlinx-coroutines-core-jvm-1.10.2.jar                                                                  |       |                                           |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/kotlinx-coroutines-jdk8-1.10.2.jar                                                                      |       |                                           |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/kotlinx-serialization-core-jvm-1.9.0.jar                                                                |       |                                           |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
